연번,미디어타입,제목,장소명,주소,위도,경도,사유
1025,drama,경우의 수,은석교사거리 정류장,경기도 파주시 문발동,37.706728,126.68646,주소_너무짧음
1199,drama,공항 가는 길,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
1607,drama,그놈이 그놈이다,응칠교,경기도 파주시 문발동,37.707846,126.68578,주소_너무짧음
1775,drama,기상청 사람들: 사내연애 잔혹사 편,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
1928,drama,나를 사랑한 스파이,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
2362,drama,너에게 가는 속도 493km,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
2393,drama,너의 노래를 들려줘,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
2902,drama,당신의 하우스헬퍼,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
3137,drama,도도솔솔라라솔,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
3325,drama,딱밤 한 대가 이별에 미치는 영향,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
3429,drama,러브 올 플레이,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
3542,drama,런온,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
3667,drama,로맨스가 필요해 2,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
3925,drama,마인,은석교사거리 정류장,경기도 파주시 문발동,37.706728,126.68646,주소_너무짧음
5033,drama,미스터 션샤인,삼릉숲,경상북도 경주시 배동,35.798733,129.208281,주소_너무짧음
6511,drama,비트윈,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
8756,drama,시간,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
8798,drama,시지프스: the myth,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
8835,drama,시크릿 가든,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
8854,drama,시크릿 부티크,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
9937,drama,아는 와이프,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
9958,drama,아름다운 날들,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
10397,drama,어바웃타임,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
10827,drama,열여덟의 순간,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
10920,drama,오 마이 베이비,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
11176,drama,"우리, 사랑했을까",반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
11187,drama,우리가 결혼할 수 있을까,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
11189,drama,우리가 만난 기적,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
12669,drama,최강 배달꾼,동탄반송길,경기도 화성시 반송동,37.209463,127.06384,주소_너무짧음
12802,drama,친애하는 판사님께,대둔산 금강구름다리,전북특별자치도 완주군,36.123133,127.32339,주소_너무짧음
13398,drama,하늘에서 내리는 일억개의 별,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
13505,drama,하자있는 인간들,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
13582,drama,한 사람만,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
14196,drama,힘쎈여자 도봉순,대둔산 금강구름다리,전북특별자치도 완주군,36.123133,127.32339,주소_너무짧음
14693,drama,VIP,반포대교,서울특별시 서초구,37.512187,126.9976,주소_너무짧음
15058,show,흑백요리사,티엔미미(Tien Mi Mi),서울특별시 강남구 도산대로51길 16,0.0,0.0,위경도_0_0
15059,show,흑백요리사,군몽(Gunmong),서울특별시 용산구 이태원로54길 37,0.0,0.0,위경도_0_0
15060,show,흑백요리사,비아 톨레도 파스타 바(Via Toledo Pasta Bar),서울특별시 용산구 대사관로 20길 33,0.0,0.0,위경도_0_0
15061,show,흑백요리사,야키토리 묵(Yakitori Muk),서울특별시 강남구 강남대로162길 31,0.0,0.0,위경도_0_0
15072,show,남겨서 뭐하게,쓰윗(SWEET),서울특별시 성동구 연무장3길 12 B1층,0.0,0.0,위경도_0_0
15073,show,남겨서 뭐하게,멕스타이거(MEX TIGER),서울 강남구 테헤란로1길 42 B1층 1호 (강남역 11번 출구 도보 300m),0.0,0.0,위경도_0_0
15078,show,줄 서는 식당2,바다회사랑,서울 마포구 연남동,37.5604083,126.921,주소_너무짧음
15084,show,식객 허영만의 백반기행,빠금장정식,충남 천안시 동남구 동면 화덕리,0.0,0.0,위경도_0_0
15086,show,줄 서는 식당2,광장시장 찹쌀꽈배기,서울 종로구 광장시장,37.5706134,127.0004198,주소_너무짧음
15087,show,줄 서는 식당2,광장시장 무채떡볶이,서울 종로구 광장시장,37.570638,127.0004749,주소_너무짧음
15088,show,줄 서는 식당2,역삼동 소갈비 맛집,서울 강남구 역삼동,37.5035326,127.0265655,주소_너무짧음
15091,show,전현무계획2,강화터미널 속노랑고구마짜장면,인천 강화군 강화읍 남산리 강화터미널 내,0.0,0.0,위경도_0_0
15093,show,식스센스 시티투어2,요거트 숙성 대파 통갈매기살,0.0,0.0,,필드_어긋남_주소칸에숫자 | 위경도_0_0
15095,show,식스센스 시티투어2,기버터 스테이크,0.0,0.0,,필드_어긋남_주소칸에숫자 | 위경도_0_0
15096,show,대식좌의 밥상,한우 육회 비빔밥,경북 경주시 황리단길,35.8369546,129.2094453,주소_너무짧음
15097,show,대식좌의 밥상,스지 닭한마리,경북 경주시 황리단길,35.8369546,129.2094453,주소_너무짧음
15098,show,대식좌의 밥상,한우 대창 곱도리탕,경북 경주시 황리단길,35.8369546,129.2094453,주소_너무짧음
15106,show,성시경의 먹을텐데,상봉역 한우암소구이,서울 중랑구 상봉동 상봉역 인근 약 350m,0.0,0.0,위경도_0_0
15110,show,핸썸가이즈,바싹불고기,서울 마포구 공덕동,37.5429468,126.9470965,주소_너무짧음
15112,show,핸썸가이즈,부암동 파스타 스테이크 맛집,서울 종로구 부암동,37.5952438,126.9702503,주소_너무짧음
15113,show,핸썸가이즈,서촌 남도 한정식,서울 종로구 서촌,37.5780066,126.9724921,주소_너무짧음
15114,show,핸썸가이즈,서촌 훠궈 맛집,서울 종로구 서촌,37.5780066,126.9724921,주소_너무짧음
15115,show,핸썸가이즈,서촌 치킨 가게,서울 종로구 서촌,37.5780066,126.9724921,주소_너무짧음
15116,show,핸썸가이즈,선릉 참치 전문점,서울 강남구 선릉,37.5025713,127.0520977,주소_너무짧음
15117,show,핸썸가이즈,선릉 순대국 식당,서울 강남구 선릉,37.5040825,127.0534185,주소_너무짧음
15118,show,핸썸가이즈,선릉 이동갈비,서울 강남구 선릉,37.5047255,127.0430016,주소_너무짧음
15119,show,핸썸가이즈,선릉 샤부샤부,서울 강남구 선릉,37.5055922,127.0550259,주소_너무짧음
15121,show,틈만나면,청담동 고기집,서울 강남구 청담동,37.5238717,127.0520342,주소_너무짧음
15122,show,틈만나면,왕십리 순대국밥,서울 성동구 왕십리,37.5638638,127.0341462,주소_너무짧음
15123,show,틈만나면,한남동 북엇국,서울 용산구 한남동,37.5339681,127.0080799,주소_너무짧음
15135,restaurant,흑백요리사 시즌1,오팬파이어,제주 제주시 조천읍 남조로 1781,0.0,0.0,위경도_0_0
15160,restaurant,흑백요리사 시즌1,남영탉,서울 용산구 한강대로80길,0.0,0.0,위경도_0_0
15172,restaurant,흑백요리사 시즌1,가야가야 이대점,서울 서대문구 이화여대5길 7-3,0.0,0.0,위경도_0_0
15188,restaurant,흑백요리사 시즌1,언니네시골집 게스트하우스,제주 제주시 한경면 용수3길 38,0.0,0.0,위경도_0_0
15201,restaurant,흑백요리사 시즌1,이야이야앤프랜즈,서울 강남구 도산대로51길 22-1,0.0,0.0,위경도_0_0
15206,restaurant,흑백요리사 시즌2,셰누프라이빗키친,서울 용산구 이태원,37.5363416,126.9873967,주소_너무짧음
15207,restaurant,흑백요리사 시즌2,드레스덴 그린,서울 강남구 청담동,37.5230216,127.0422013,주소_너무짧음
15208,restaurant,흑백요리사 시즌2,소바쥬,서울 마포구 도화동,37.5412649,126.9462973,주소_너무짧음
15209,restaurant,흑백요리사 시즌2,모노로그,서울 강남구 청담동,37.5233218,127.0441055,주소_너무짧음
15210,restaurant,흑백요리사 시즌2,독도16도,서울 종로구 노하동,37.5794702,126.9685771,주소_너무짧음
15211,restaurant,흑백요리사 시즌2,수퍼판,서울 강남구 신사동,37.524445,127.0268549,주소_너무짧음
15212,restaurant,흑백요리사 시즌2,온지음 레스토랑,서울 종로구 창성동,37.5804848,126.9734438,주소_너무짧음
15213,restaurant,흑백요리사 시즌2,옥동식,서울 마포구 서교동,37.5526833,126.9144811,주소_너무짧음
15215,restaurant,흑백요리사 시즌2,해방촌 윤주당,서울 용산구 용산동,37.5453594,126.9859913,주소_너무짧음
15216,restaurant,흑백요리사 시즌2,동경밥상 본점,부산 수영구 남천동,35.1483966,129.113852,주소_너무짧음
15217,restaurant,흑백요리사 시즌2,유용욱바베큐연구소,서울 용산구 남영동,37.5439572,126.9727818,주소_너무짧음
15219,restaurant,흑백요리사 시즌2,BISTYROT de YOUNTVILLE,서울 강남구 청담동,37.525107,127.0492909,주소_너무짧음
15220,restaurant,흑백요리사 시즌2,쌤쌤쌤 용산점,서울 용산구 한강로,37.5315541,126.9721757,주소_너무짧음
15222,restaurant,흑백요리사 시즌2,솔밤,서울 강남구 학동로,37.5156791,127.034072,주소_너무짧음
15224,restaurant,흑백요리사 시즌2,스와니예,서울 강남구,37.5196631,127.0190103,주소_너무짧음
15226,restaurant,흑백요리사 시즌2,라망 시크레,서울 강남구,37.517305,127.047502,주소_너무짧음
15228,restaurant,흑백요리사 시즌2,카덴,서울 서대문구 연희동,37.5725752,126.935088,주소_너무짧음
15229,restaurant,흑백요리사 시즌2,뜨라또리아 샘킴,서울 마포구 도산대로,37.5238115,127.03769,주소_너무짧음
15230,restaurant,흑백요리사 시즌2,오스리아 샘킴,서울 강남구,37.517305,127.047502,주소_너무짧음
15231,restaurant,흑백요리사 시즌2,시리얼고메2.0,경기 화성시 동탄,37.1704738,127.1104547,주소_너무짧음
15234,restaurant,흑백요리사 시즌2,소울,서울 강남구,37.5112569,127.0593023,주소_너무짧음
15235,restaurant,흑백요리사 시즌2,에그앤플라워,서울 강남구,37.517305,127.047502,주소_너무짧음
15236,restaurant,흑백요리사 시즌2,고료리 켄,서울 강남구 압구정동,37.5230036,127.0348312,주소_너무짧음
15237,restaurant,흑백요리사 시즌2,이치에,서울 강남구 신사동,37.5253741,127.0376944,주소_너무짧음
15238,restaurant,흑백요리사 시즌2,회현식당,서울 중구 회현동,37.5570139,126.977707,주소_너무짧음
15239,restaurant,흑백요리사 시즌2,천상현의 천상,경기 가평군,37.6880586,127.513092,주소_너무짧음
15243,restaurant,흑백요리사 시즌2,크라운돼지,서울 강남구 테헤란로,37.518497,127.0205026,주소_너무짧음
15246,restaurant,흑백요리사 시즌2,코자차,서울 강남구,37.5208918,127.0552938,주소_너무짧음
15247,restaurant,흑백요리사 시즌2,테이블포포,서울 강남구,37.5346781,127.0052443,주소_너무짧음
15278,guide,미쉐린 가이드 2025,안덕,서울특별시 종로구 자하문로 17길 18,0.0,0.0,위경도_0_0
15305,guide,미쉐린 가이드 2025,곰탕랩,"서울특별시 강남구 테헤란로 517, 현대백화점 10층",0.0,0.0,위경도_0_0
15333,guide,미쉐린 가이드 2025,유림면,서울특별시 중구 서소문로 139-1,0.0,0.0,위경도_0_0
15344,guide,미쉐린 가이드 2025,온,"서울특별시 강남구 도산대로 92길 42, 지하 1층",0.0,0.0,위경도_0_0
15415,guide,미쉐린 가이드 2025,진미 평양냉면,서울특별시 강남구 학동로 305-3,0.0,0.0,위경도_0_0
15464,guide,미쉐린 가이드 2025,구찌 오스테리아 다 마시모 보투라,"서울특별시 강남구 압구정로 462, 5층",0.0,0.0,위경도_0_0
15484,guide,미쉐린 가이드 2025,오스테리아 어부,부산진구 동천로 58,35.1539789,129.0625252,주소_너무짧음
15513,guide,미쉐린 가이드 2025,모리,부산광역시 해운대구 구남로 21 경동리인뷰2차 상가 3층 311호,0.0,0.0,위경도_0_0
15519,guide,미쉐린 가이드 2025,레땅,부산진구 성지로 22,35.1725224,129.0551716,주소_너무짧음
