no,place-name,tier
15273,이목 스모크다이닝,michelin
15274,뫼밀집,michelin
15275,오리지널 넘버스,michelin
15276,진돼지곰탕,michelin
15277,평산옥,michelin
15278,안덕,michelin
15279,꼴라쥬,michelin
15280,명보당,michelin
15281,레스토랑 산,michelin
15282,마츠자키,michelin
15283,송헌집,michelin
15284,1969 부원동 칼국수,michelin
15285,미락슈퍼,michelin
15286,잔둔가,michelin
15287,이안,michelin
15288,3대 삼계장인,michelin
15289,소넷,michelin
15290,묵정,michelin
15291,샤콘느,michelin
15292,평양집,michelin
15293,울트라 바이트,michelin
15294,토오루,michelin
15295,오일제,michelin
15296,후제,michelin
15297,두리,michelin
15298,오니바,michelin
15299,비움,michelin
15300,기와강,michelin
15301,소바키리 스즈,michelin
15302,고사리 익스프레스,michelin
15303,서교난면방,bib
15304,옥돌현옥,bib
15305,곰탕랩,bib
15306,정짓간,bib
15307,마나오,michelin
15308,미필담,bib
15309,한월관,bib
15310,본 앤 브레드,michelin
15311,니시무라멘,bib
15312,주052,michelin
15313,팀호완,michelin
15314,트리드,michelin
15315,도림,michelin
15316,야키토리 묵,michelin
15317,유 유안,1star
15318,외고집 설렁탕,michelin
15319,레스토랑 오와이,michelin
15320,온지음,1star
15321,피에르 가니에르,michelin
15322,토라후구가,michelin
15323,숙수도가,michelin
15324,하쿠시,michelin
15325,텐지몽,michelin
15326,합정옥,bib
15327,쥬에,michelin
15328,에빠뉘,michelin
15329,베이스 이즈 나이스,bib
15330,진진,bib
15331,무궁화,michelin
15332,만족오향족발,bib
15333,유림면,bib
15334,봉산옥,michelin
15335,테판,michelin
15336,본 앤 브레드,michelin
15337,미진,bib
15338,봉밀가,michelin
15339,무오키,1star
15340,비스트로 드 욘트빌,michelin
15341,보름쇠,michelin
15342,더 그린테이블,michelin
15343,나인스 게이트,michelin
15344,온,michelin
15345,텅 앤 그루브 조인트,michelin
15346,무니,1star
15347,스테이,michelin
15348,마포옥,bib
15349,오레노 라멘,bib
15350,교양식사,michelin
15351,스바루,bib
15352,비채나,1star
15353,황금콩밭,bib
15354,남포면옥,michelin
15355,황생가 칼국수,bib
15356,줄라이,michelin
15357,명동 교자,bib
15358,크리스탈 제이드,michelin
15359,만두집,bib
15360,꼼 모아,michelin
15361,진미식당,michelin
15362,대성집,bib
15363,할매집,bib
15364,개성만두 궁,bib
15365,버드나무집,michelin
15366,삼청동 수제비,bib
15367,도우룸,michelin
15368,곰바위,michelin
15369,랑빠스 81,michelin
15370,정인면옥,bib
15371,융캉찌에,michelin
15372,슌사이 쿠보,bib
15373,합천국밥집,bib
15374,바오하우스,bib
15375,언양불고기 부산집,michelin
15376,나막집,michelin
15377,델리봉,michelin
15378,피오또,1star
15379,호라파,bib
15380,딤타오,michelin
15381,제로 베이스,michelin
15382,담택,bib
15383,솔밤,1star
15384,리북방,michelin
15385,아르프,bib
15386,사루카메,bib
15387,레스토랑 주은,michelin
15388,원 디그리 노스,michelin
15389,정면,bib
15390,셰누 프라이빗 키친,michelin
15391,소수헌,1star
15392,뛰뚜아멍,1star
15393,비비재,bib
15394,스시 마츠모토,1star
15395,코자차,michelin
15396,키라메키,michelin
15397,리알토,michelin
15398,면서울,bib
15399,소울,1star
15400,꿉당,bib
15401,차오란,michelin
15402,안씨 막걸리,michelin
15403,라망 시크레,1star
15404,쉐시몽,michelin
15405,콘티넨탈,michelin
15406,라연,2star
15407,팔레드 신,michelin
15408,제로 컴플렉스,1star
15409,물랑,michelin
15410,에빗,2star
15411,옳음,michelin
15412,게방식당,bib
15413,익스퀴진,1star
15414,밍글스,3star
15415,진미 평양냉면,michelin
15416,미나미,michelin
15417,하동관,michelin
15418,우래옥,bib
15419,금돼지식당,bib
15420,양양 메밀 막국수,bib
15421,우가,michelin
15422,옥동식,bib
15423,필동면옥,bib
15424,평양면옥,michelin
15425,류니끄,michelin
15426,구복만두,bib
15427,역전회관,bib
15428,테이블 포 포,michelin
15429,용금옥,bib
15430,권숙수,2star
15431,레스쁘아 뒤 이부,michelin
15432,부촌육회,bib
15433,스와니예,2star
15434,이문설농탕,michelin
15435,꽃밥에피다,bib
15436,정식당,2star
15437,호빈,1star
15438,비네토,michelin
15439,맷돌,bib
15440,마테르,michelin
15441,해남천일관,michelin
15442,소공간,michelin
15443,머스트루,michelin
15444,알고리즘,michelin
15445,해목,bib
15446,유한,bib
15447,소바쥬,michelin
15448,페리지,michelin
15449,알트에이,bib
15450,서령,bib
15451,RMW Carne,michelin
15452,야키토리 키유,michelin
15453,능동미나리,bib
15454,산로,michelin
15455,백일평냉,bib
15456,에스콘디도,1star
15457,레귬,1star
15458,피리피리,bib
15459,이와,michelin
15460,빈호,1star
15461,엘픽,michelin
15462,알레즈,michelin
15463,이스트,1star
15464,구찌 오스테리아 다 마시모 보투라,michelin
15465,시오,michelin
15466,중화복춘 살롱,michelin
15467,강민철 레스토랑,1star
15468,금수복국,michelin
15469,나가하마 만게츠,bib
15470,에쌍스,michelin
15471,오프닝,michelin
15472,해운대 암소갈비집,michelin
15473,가겐 바이 최준호,michelin
15474,윤서울,1star
15475,보르고 한남,michelin
15476,하네,1star
15477,세븐스도어,1star
15478,디 템포레,michelin
15479,아웃트로 바이 비토,michelin
15480,에그 앤 플라워,bib
15481,현우동,bib
15482,정육면체,bib
15483,홍연,michelin
15484,오스테리아 어부,michelin
15485,팔레트,1star
15486,으뜸 이로리바타,michelin
15487,진중 우육면관,bib
15488,오부이용,michelin
15489,알라 프리마,2star
15490,쿠시카와,michelin
15491,오스테리아 오르조,michelin
15492,소설한남,1star
15493,서울 다이닝,michelin
15494,광화문 국밥,bib
15495,고료리 켄,1star
15496,벽제갈비,michelin
15497,임병주 산동 칼국수,bib
15498,교다이야,bib
15499,미미 면가,michelin
15500,미토우,2star
15501,톡톡,michelin
15502,볼트 스테이크하우스,michelin
15503,삼원가든,michelin
15504,백년옥,michelin
15505,이치류,michelin
15506,라미띠에,1star
15507,자하 손만두,bib
15508,화해당,bib
15509,뉴러우멘관즈,bib
15510,담미옥,bib
15511,램지,michelin
15512,레썽스,michelin
15513,모리,1star
15514,안암,bib
15515,야키토리 해공,michelin
15516,르도헤,michelin
15517,쉐프곤,michelin
15518,야키토리 온정,bib
15519,레땅,michelin
15520,차애전 할매 칼국수,michelin
15521,굿모닝홍콩,michelin
15522,계월,bib
15523,일 베키오,michelin
15524,코르 파스타바,bib
15525,동경밥상,bib
15526,레스토랑 알렌,2star
15527,안목,bib
15528,부다면옥,bib
15529,르오뇽,michelin
15530,이타닉 가든,1star
15531,기가스,1star
